Numero_BP;Departamento;Municipio;Vereda;Predio;Organizacion;Id_Distrito;Nombre_Distrito;Escala_Distrito;Tipo_Distrito;Distrito_Operativo;Area_Bruta_HA;Area_Neta_Inicial_HA;Familias;Principales_Cultivos;Condición_Juridica;Propiedad_Distrito;Estado_Propiedad;Recursos_Construccion;Administrador_Distrito;Nombre_Fuente_Hidrica;Subzona_Hidrica;Corporacion_Autonoma_Regional;Concesión_Aguas;Numer_Consecion;Caudal_Consecion;Fecha_Consecion;Vigencia_Consecion;Observaciones
432;META;EL DORADO;SANTA ROSA ALTA;;ASUSALTA;432;SANTA ROSA ALTA;Pequeña;Riego;1;60;60;18;Piscícola, Cítricos, Café, Cacao, Plátano, Ganadería, Aguacate, Pastos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Chorritos;Rio Ariari;CORMACARENA;0;;;;;
433;META;EL DORADO;SANTA ROSA BAJA;;ASUBAJA;433;SANTA ROSA BAJA;Pequeña;Riego;0;46;46;20;Piscícola, Pastos, Cacao, Habichuela, Maracuyá, Cítricos, Aguacate, Pastos, Frutales, Pancoger;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Caño Pajuil;Rio Ariari;CORMACARENA;1;;;;;
434;META;GUAMAL;PIO XII;;ASOOROTOY;434;OROTOY;Pequeña;Riego;1;1500;1500;500;Pastos, Ganadería de Doble Propósito;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Río Orotoy, Río Guamal;Rio Metica (Guamal - Humadea);CORMACARENA;0;;;;;
435;META;MESETAS;BRISAS Y NARANJAL;;ASONARANJAL;435;BRISAS NARANJAL;Pequeña;Riego;1;53;53;33;Pastos, Plátano, Café, Cacao, Cítricos, Fríjol, Yuca, Pancoger, Maíz, Ganadería;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Agua Linda;Rio Guape;CORMACARENA;1;;;;;"Actualizacion D.T. 2013; Programa Servicios Complementarios 2013."
436;META;MESETAS;DIAMANTE;;ASODIAMANTE;436;DIAMANTE;Pequeña;Riego;1;60;60;25;Plátano, Pastos, Papaya, Café, Maíz, Frijol, Maracuyá, Cítricos Cacao, Tomate, Peces, Ganado, Frutales, Pancoger;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Caño Dulce;Rio Guape;CORMACARENA;0;;;;;
437;META;MESETAS;MERCEDES LAS ROSAS;;ASOMER;437;LAS MERCEDES;Pequeña;Riego;1;100;100;50;Plátano, Pastos, Papaya, Caña, Cacao, Maíz, Cítricos, Ganadería de Doble Propósito, Pancoger;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Cristalina;Rio Guape;CORMACARENA;0;;;;;
438;NARIÑO;ANCUYA;CORREGIMIENTO CRUZ DE MAYO;;ASOPROMAYO;438;PROGRESO DE CRUZ DE MAYO;Pequeña;Riego;1;154;154;140;;Privado ;Asociación ;Propio;AIS 2009;Asociación de Usuarios;;Rio Guaitara;CORPONARIÑO;0;;;;;Estatutos actualizados.
439;NARIÑO;BUESACO;FRANCO VILLA, HIGUERONES, SUMAPAZ, LA LOMA;;ASOLOMA;439;BUESACO LA LOMA;Pequeña;Riego;1;171;171;183;Maíz, Fríjol, Café, Yuca, Frutales, Lulo, Cítricos, Aguacate, Papaya, Piña, Tomate;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Pajajoy Según SC Río Buesaquillo;Rio Juananbu;CORPONARIÑO;1;;;;;
440;NARIÑO;BUESACO;LA ESPERANZA;;ASO-LA ESPERANZA;440;LA ESPERANZA;Pequeña;Riego;1;70;70;74;Fresa, Lulo, Tomate de Árbol, Papa, Alverja, Pastos, Maíz, Fique;Privado ;Asociación ;Propio;AIS 2008 II;Asociación de Usuarios;Quebrada Panacas;Rio Juananbu;CORPONARIÑO;1;;;;;
441;NARIÑO;BUESACO;SAN JOSÉ DE COAPITAS, ORTEGAS LAS COCHAS, ORTEGA LOS CORRALES;;ASOBOQUERON;441;LAS COCHAS;Pequeña;Riego;1;200;200;192;Maíz, Caña, Papa, Café, Plátano, Fríjol;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Río Meneses;Rio Juananbu;CORPONARIÑO;1;;;;;
442;NARIÑO;BUESACO;LLANO LARGO;;ASO-LLANO LARGO;442;LLANO LARGO;Pequeña;Riego;1;56;56;48;Fresa, Arveja, Fríjol, Maíz, Papa, Ganado Lechero, Lulo, Tomate de Árbol;Privado ;Asociación ;Propio;AIS 2008 I;Asociación de Usuarios;Quebrada Pananacas;Rio Juananbu;CORPONARIÑO;1;;;;;
443;NARIÑO;BUESACO;QUITUPAMBA, CORTIJO ;;ASO QUITUPAMBA;443;QUITUPAMBA;Pequeña;Riego;1;63;63;36;Maíz, Fríjol, Alverja, Frutales, Tomate, Papa, Mora, Café, Lulo, Fresa;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Meneses;Rio Juananbu;CORPONARIÑO;1;;;;;
