HS;Descripción HS;ID_ADR;CADENA_PRODUCTIVA_ADR;ENA;ACTIVOSPRODUCTIVO;ASISTENCIATECNICA;ADT
071340;Lentejas secas desvainadas, aunque estén mondadas o partidas;011301;LENTEJA;LENTEJA;;;
071340;Lentejas secas desvainadas, aunque estén mondadas o partidas;011301;LENTEJA;;;;LEVANTE Y CEBA DE CERDO
071350;"Habas ""Vicia faba var. major"", haba caballar ""Vicia faba var. equina"" y haba menor ""Vicia faba ...";011302;HABA;HABA;;;
071350;"Habas ""Vicia faba var. major"", haba caballar ""Vicia faba var. equina"" y haba menor ""Vicia faba ...";011302;HABA;;;;HABA
071350;"Habas ""Vicia faba var. major"", haba caballar ""Vicia faba var. equina"" y haba menor ""Vicia faba ...";011302;HABA;;;;HABAS
071390;Legumbres secas, legumbres sin cáscara, incluso mondadas o partidas (exc. ??guisantes, garbanzos, ...;011303;GARBANZO;GARBANZO;;;
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010507;BATATA;BATATA;;;
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010508;BORE;BORE;;;
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010509;CHONQUE;CHONQUE;;;
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010510;MALANGA;MALANGA;;;
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010511;ÑAME;ÑAME;;;
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010511;ÑAME;;;ÑAME;
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010512;ÑAME DIAMANTE;ÑAME DIAMANTE;;;
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010513;ÑAME ESPINO;ÑAME ESPINO;;;
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010514;YACON;YACON;;;
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010515;YUCA;YUCA;;;
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010515;YUCA;;;YUCA;
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010516;YUCA INDUSTRIAL;YUCA INDUSTRIAL;;;
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010515;YUCA;;;;TUBÉRCULOS
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010515;YUCA;;;;YUCA
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010515;YUCA;;;;ZANAHORIA
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010515;YUCA;;;;ZAPOTE
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010515;YUCA;;;;ZAPOTES
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010515;YUCA;;;;ZARAGOZA
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010515;YUCA;;;;ZUQUINI
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010511;ÑAME;;;;ÑAME
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010511;ÑAME;;;;ÑAME Y HORTALIZAS
071410;"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";010511;ÑAME;;;;ÑAME Y MAÍZ
080119;"Cocos frescos, incluso sin cáscara o mondados (exc. ??en el interior de shell ""endocarpio"")";012441;COCO;COCO;;;
080119;"Cocos frescos, incluso sin cáscara o mondados (exc. ??en el interior de shell ""endocarpio"")";012441;COCO;;;;COCO
080261;Nueces de macadamia, frescas o secas, con cáscara;012442;MACADAMIA;MACADAMIA;;;
080300;Bananas o plátanos, frescos o secos;011401;BANANITO;BANANITO;;;
080300;Bananas o plátanos, frescos o secos;011402;BANANO;BANANO;;;
080300;Bananas o plátanos, frescos o secos;011403;BANANO EXPORTACION;BANANO EXPORTACION;;;
080300;Bananas o plátanos, frescos o secos;011404;BANANO MANZANO;BANANO MANZANO;;;
080300;Bananas o plátanos, frescos o secos;011405;CACHACO;CACHACO;;;
080300;Bananas o plátanos, frescos o secos;011406;CHIRO;CHIRO;;;
080300;Bananas o plátanos, frescos o secos;011407;CHOLUPA;CHOLUPA;;;
080300;Bananas o plátanos, frescos o secos;011408;MURRAPO;MURRAPO;;;
080300;Bananas o plátanos, frescos o secos;011409;PLATANO;PLATANO;;;
080300;Bananas o plátanos, frescos o secos;011409;PLATANO;;;PLATANO;
080300;Bananas o plátanos, frescos o secos;011409;PLATANO;;;PLÁTANO;
080300;Bananas o plátanos, frescos o secos;011410;PLATANO EXPORTACION;PLATANO EXPORTACION;;;
080300;Bananas o plátanos, frescos o secos;011402;BANANO;;;;BANANO
