HS;Descripci¢n HS;ID_ADR;CADENA_PRODUCTIVA_ADR;ASISTENCIATECNICA
80520;"Mandarinas, incl. las tangerinas y satsumas; clementinas, wilkings e hÁbridos simil. de agrios ...";11611;TANGELO MINEOLA;
80520;"Mandarinas, incl. las tangerinas y satsumas; clementinas, wilkings e hÁbridos simil. de agrios ...";11612;TANGELO ORLANDO;
80520;"Mandarinas, incl. las tangerinas y satsumas; clementinas, wilkings e hÁbridos simil. de agrios ...";11607;MANDARINA;
80530;Limones y lima agria, frescos o secos;11613;LIMA;
80530;Limones y lima agria, frescos o secos;11614;LIMA TAHITI;
80530;Limones y lima agria, frescos o secos;11615;LIMON;
80530;Limones y lima agria, frescos o secos;11616;LIMON MANDARINO;
80530;Limones y lima agria, frescos o secos;11617;LIMON PAJARITO;
80530;Limones y lima agria, frescos o secos;11618;LIMON TAHITI;
80530;Limones y lima agria, frescos o secos;11615;LIMON;
80530;Limones y lima agria, frescos o secos;11617;LIMON PAJARITO;
80530;Limones y lima agria, frescos o secos;11617;LIMON PAJARITO;
80530;Limones y lima agria, frescos o secos;11618;LIMON TAHITI;
80530;Limones y lima agria, frescos o secos;11618;LIMON TAHITI;
80540;Toronjas o pomelos, frescos o secos;11619;POMELO;
80540;Toronjas o pomelos, frescos o secos;11620;TORONJA;
80610;Uvas frescas;11701;UVA;
80610;Uvas frescas;11702;UVA CAIMARONA;
80610;Uvas frescas;11701;UVA;
80610;Uvas frescas;11701;UVA;
80610;Uvas frescas;11701;UVA;
80711;SandÁas, frescas;11801;PATILLA;
80711;SandÁas, frescas;11801;PATILLA;
80711;SandÁas, frescas;11801;PATILLA;
80711;SandÁas, frescas;11801;PATILLA;
80719;Melones, frescos (exc. sandÁas);11802;MELON;
80719;Melones, frescos (exc. sandÁas);11802;MELON;
