cadena_cultivo|mes_anio|promedio_exportaciones|promedio_exportaciones_superior|promedio_exportaciones_inferior|valor_real
CAFE|201802|181486.993187721|222537.250238614|142871.290278936|182036
CAFE|201711|189502.235274354|229002.201888288|149998.839642086|193016
CAFE|201505|175762.539733986|215063.177008072|130580.616780483|190448
CAFE|201606|172251.507452517|211574.840891295|130033.47778292|172626
CAFE|201708|192796.291902252|231439.158410207|151537.612443299|202233
CAFE|201910|184662.13874974|225033.137244686|144206.003482803|187881
CAFE|202008|192796.291902252|35411.1150376846|150997.703406147|188306
CAFE|201705|169298.210906026|211029.594656692|127418.450990738|187682
CAFE|201710|188477.623553883|230564.080015208|144630.004710079|209847
CAFE|201603|193074.921966567|234166.485529217|150563.908641538|174117
CAFE|201902|198485.001567635|241345.439805245|155541.356001338|201052
CAFE|201612|315422.588595177|356352.499888476|275697.266459049|424028
CAFE|202004|462245.904632225|504518.626641381|420842.815083767|462245.904632225
CAFE|201504|185425.515077479|225371.451899902|146141.560727863|177275
CAFE|201701|213768.218183345|254255.63719121|172590.30965791|227674
CAFE|201508|215724.6283698|259049.356059736|175746.510853774|214936
CAFE|202002|28667.9745275768|69190.7970939051|150997.703406147|28667.9745275768
CAFE|202101|560236.708334679|604035.790377363|519369.62612328|560236.708334679
CAFE|202011|192796.291902252|233858.242667305|150997.703406147|188306
CAFE|202001|550990.593865078|590966.804071161|511772.351904361|550990.593865078
CAFE|202003|192796.291902252|233858.242667305|150997.703406147|188306
CAFE|201512|224216.576423484|263978.969771827|185433.529202876|212937
CAFE|201704|227008.095047132|267791.131470088|185832.410561397|209099
CAFE|201905|163133.160226551|204747.195247986|122101.228650987|135769
CAFE|201809|196945.784473904|238690.524526393|156196.884522367|172987
CAFE|201510|197300.093831527|240007.837784397|155178.260229532|175232
CAFE|201610|190218.833731712|232170.473916296|150997.703406147|188306
CAFE|201812|246031.051233101|285856.876516581|205424.049139045|209094
CAFE|201707|177567.667105026|222266.635722939|138691.346957046|224406
CAFE|201912|939470.50897711|982157.592944197|900539.038577318|234288
CAFE|201608|187417.218664098|229335.274264721|147391.583462766|164055
CAFE|201609|206799.551125033|246593.835387263|167065.922568379|190426
CAFE|202007|155446.648589529|195738.599089467|113887.868740077|155446.648589529
CAFE|201808|198021.974601842|240101.889052017|156764.048580211|205116
CAFE|201906|129643.504842669|170017.894775239|87115.3033193894|143000
CAFE|202010|137479.761236646|175202.721017827|94312.5285926721|137479.761236646
CAFE|201511|205635.177673456|248669.934732783|161490.981031881|183509
CAFE|201909|191736.674586783|230061.139345229|150135.699673106|159326
CAFE|201903|216670.424252889|258589.050409447|177165.613120342|186019
CAFE|201503|229296.384739212|272383.858629403|186451.328931451|207262
CAFE|201805|166118.723608192|209112.7558426|124375.881516917|184363
CAFE|201706|157722.934101471|198449.962663871|116404.430507583|132054
CARDAMOMO|201801|0|0|0|0
CARDAMOMO|201604|0|0|0|0
CARDAMOMO|201908|0|0|0|0
CARDAMOMO|201703|0|0|0|0
CARDAMOMO|201509|0|0|0|0
CARDAMOMO|201611|0|0|0|0
CARDAMOMO|202006|0|1.92815024727918e-09|0|0
CARDAMOMO|201506|0|0|0|0
CARDAMOMO|201806|0|0|0|0
CARDAMOMO|201709|0|0|0|0
CARDAMOMO|202009|0|3.44912542748032e-09|0|0
CARDAMOMO|201911|0|0|0|0
CARDAMOMO|201811|0|0|0|0
CARDAMOMO|201607|0|0|0|0
CARDAMOMO|201505|0|0|0|0
CARDAMOMO|202104|0|8.47807740980775e-09|0|0
CARDAMOMO|201712|0|0|0|0
CARDAMOMO|202105|0|9.12033012251497e-09|0|0
CARDAMOMO|201601|0|0|0|0
CARDAMOMO|202002|0|3.40335252246516e-10|0|0
CARDAMOMO|202005|0|1.44072762087093e-09|0|0
CARDAMOMO|201803|0|0|0|0
CARDAMOMO|201905|0|0|0|0
CARDAMOMO|201612|0|0|0|0
CARDAMOMO|202012|0|5.56691932230308e-09|0|0
CARDAMOMO|201807|0|0|0|0
CARDAMOMO|201907|0|0|0|0
CARDAMOMO|201812|0|0|0|0
CARDAMOMO|201810|0|0|0|0
CARDAMOMO|201702|0|0|0|0
CARDAMOMO|201708|0|0|0|0
CARDAMOMO|202008|0|2.98890651159515e-09|0|0
CARDAMOMO|201904|0|0|0|0
CARDAMOMO|201901|0|0|0|0
CARDAMOMO|201704|0|0|0|0
CARDAMOMO|201804|0|0|0|0
CARDAMOMO|201507|0|0|0|0
CARDAMOMO|201705|0|0|0|0
CARDAMOMO|201504|0|0|0|0
CARDAMOMO|201711|0|0|0|0
