Código,Descripción del producto,Mes,value,YYYY,MM,CADENA_PRODUCTIVA_ADR
080720,"Papayas, frescas",201505,15,2015,05,PAPAYA
070610,"Zanahorias y nabos, frescos o refrigerados (exc. remolachas para ensalada)",201505,0,2015,05,NABO
120740,"Semilla de sésamo ""ajonjolí"", incl. quebrantada",201505,0,2015,05,AJONJOLI
140190,"Caña, junco, mimbre, rafia, paja de cereales, limpiada, blanqueada o teñida, corteza de tilo ...",201505,1,2015,05,ESPARTO
060313,"Orquídeas ""flores y capullos"", cortadas para ramos o adornos, frescas",201505,2,2015,05,ORQUIDEA
070490,"Coles, incl. los repollos, y coliflores, coles rizadas, colinabos y productos comestibles simil. ...",201505,0,2015,05,COLIFLOR
070970,"Espinacas, incl. las de Nueva Zelanda, y armuelles, frescas o refrigeradas",201505,0,2015,05,ESPINACA
081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",201505,0,2015,05,FRAMBUESA
060110,"Bulbos, cebollas, tubérculos, raíces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo ...",201505,0,2015,05,CEBOLLA
060220,"Árboles, arbustos y matas, de frutas o de otros frutos comestibles, incl. injertados",201505,19,2015,05,CADUCIFOLIOS
070410,"Coles y brécoles ""broccoli"", frescos o refrigerados",201505,16,2015,05,BROCOLI
070690,"Remolachas para ensalada, salsifíes, apionabos, rábanos y raíces comestibles, frescas o refrigeradas ...",201505,0,2015,05,ACELGA
070700,"Pepinos y pepinillos, frescos o refrigerados",201505,1,2015,05,PEPINO COHOMBRO
070810,"Guisantes ""arvejas, chícharos"" ""Pisum sativum"", aunque estén desvainados, frescos o refrigerados",201505,0,2015,05,ARVEJA
070820,"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...",201505,3,2015,05,CHACHAFRUTO
070910,"Alcachofas ""alcauciles"", frescas o refrigeradas",201505,0,2015,05,ALCACHOFA
070920,"Espárragos, frescos o refrigerados",201505,0,2015,05,ASPARRAGUS
070930,"Berenjenas, frescas o refrigeradas",201505,0,2015,05,BERENJENA
070940,"Apio, fresco o refrigerado (exc. apionabo)",201505,0,2015,05,APIO
070990,"Las demás hortalizas, frescas o refrigeradas : Las demás",201505,0,2015,05,HORTALIZAS VARIAS
071350,"Habas ""Vicia faba var. major"", haba caballar ""Vicia faba var. equina"" y haba menor ""Vicia faba ...",201505,0,2015,05,HABA
071390,"Legumbres secas, legumbres sin cáscara, incluso mondadas o partidas (exc. ??guisantes, garbanzos, ...",201505,0,2015,05,GARBANZO
080119,"Cocos frescos, incluso sin cáscara o mondados (exc. ??en el interior de shell ""endocarpio"")",201505,0,2015,05,COCO
080261,"Nueces de macadamia, frescas o secas, con cáscara",201505,0,2015,05,MACADAMIA
080300,"Bananas o plátanos, frescos o secos",201505,0,2015,05,BANANITO
080410,"Dátiles, frescos o secos",201505,0,2015,05,DATIL
080540,"Toronjas o pomelos, frescos o secos",201505,0,2015,05,POMELO
080610,Uvas frescas,201505,0,2015,05,UVA
080711,"Sandías, frescas",201505,0,2015,05,PATILLA
080810,"Manzanas, frescas",201505,0,2015,05,MANZANA
080820,"Manzanas, peras y membrillos, frescos : Peras y membrillos",201505,0,2015,05,PERA
080920,"Albaricoques (damascos, chabacanos), cerezas, melocotones (duraznos) (incluidos los griñones ...",201505,0,2015,05,DURAZNO
081040,"Arándanos rojos, mirtilos y demás frutos del género ""Vaccinium"", frescos",201505,0,2015,05,AGRAZ
090411,"Pimienta del género ""Piper"" sin triturar ni pulverizar",201505,0,2015,05,PIMENTON
090500,Vainilla,201505,0,2015,05,VAINILLA
090810,"Nuez moscada, macis, amomos y cardamomos : Nuez moscada",201505,0,2015,05,CARDAMOMO
090910,"Semillas de anís, badiana, hinojo, cilantro, comino o alcaravea; bayas de enebro : Semillas ...",201505,0,2015,05,ANIS
091010,"Jengibre, azafrán, cúrcuma, tomillo, hojas de laurel, curri y demás especias : Jengibre",201505,0,2015,05,PEREJIL
100110,Trigo y morcajo (tranquillón) : Trigo duro,201505,0,2015,05,TRIGO
100300,Cebada,201505,0,2015,05,CEBADA
100400,Avena,201505,0,2015,05,AVENA
100610,"Arroz con cáscara o arroz ""paddy""",201505,20,2015,05,ARROZ
100700,Sorgo de grano (granífero),201505,0,2015,05,SORGO
100890,"Cereales (excepto el trigo y morcajo, centeno, cebada, avena, maíz, arroz, sorgo, trigo sarraceno, ...",201505,0,2015,05,CENTENO
120100,"Habas (porotos, frijoles, fréjoles) de soja (soya), incluso quebrantadas",201505,0,2015,05,SOYA
120210,"Cacahuetes (cacahuates, maníes) sin tostar ni cocer de otro modo, incluso sin cáscara o quebrantados ...",201505,0,2015,05,MANI
120600,"Semilla de girasol, incluso quebrantada",201505,0,2015,05,GIRASOL
120720,"Las demás semillas y frutos oleaginosos, incluso quebrantados : Semilla de algodón",201505,0,2015,05,AGUAJE
120730,Semilla de ricino,201505,0,2015,05,HIGUERILLA
121220,"Algarrobas, algas, remolacha azucarera y caña de azúcar, frescas, refrigeradas, congeladas ...",201505,0,2015,05,CAÑA AZUCARERA
121293,"Caña de azúcar, fresca, refrigerada, congelada o seca, incl. pulverizada",201505,0,2015,05,STEVIA
121490,"Nabos forrajeros, remolachas forrajeras, raíces forrajeras, heno, alfalfa, trébol, esparceta, ...",201505,29,2015,05,ALFALFA
090111,Café sin tostar ni descafeinar,201506,155986,2015,06,CAFE
060319,"Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...",201506,46023,2015,06,ASTROMELIA
080390,Plátanos frescos o secos (plátanos excl.),201506,64119,2015,06,PLATANO
060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",201506,15729,2015,06,CLAVEL
060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",201506,23059,2015,06,ROSA
060314,"Crisantemos ""flores y capullos"", cortados para ramos o adornos, frescos",201506,10181,2015,06,CRISANTEMOS
080440,"Aguacates ""paltas"", frescos o secos",201506,188,2015,06,AGUACATE
081090,"Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya ...",201506,5110,2015,06,PITAHAYA
180310,"Pasta de cacao, sin desgrasar",201506,179,2015,06,CACAO
080430,"Piñas ""ananás"", frescas o secas",201506,259,2015,06,PIÑA
100510,Semillas de maíz para la siembra,201506,1713,2015,06,MAIZ
071340,"Lentejas secas desvainadas, aunque estén mondadas o partidas",201506,0,2015,06,LENTEJA
060315,"Lirios frescos cortados ""Lilium spp."" y las yemas, de una, para ramos o adornos",201506,0,2015,06,ANTURIO
081340,"Melocotones, incl. los griñones y nectarinas, peras, papayas, tamarindos y demás frutos comestibles, ...",201506,103,2015,06,ANON
080450,"Guayabas, mangos y mangostanes, frescos o secos",201506,141,2015,06,GUAYABA
080510,"Naranjas, frescas o secas",201506,158,2015,06,NARANJA
071410,"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...",201506,58,2015,06,BATATA
081010,"Fresas ""frutillas"", frescas",201506,14,2015,06,FRESA
090210,"Té verde sin fermentar, presentado en envases inmediatos con un contenido <= 3 kg",201506,35,2015,06,TE
