Código;Descripción del producto;Valor exportado en 2015-M03;Valor exportado en 2015-M04;Valor exportado en 2015-M05;Valor exportado en 2015-M06;Valor exportado en 2015-M07;Valor exportado en 2015-M08;Valor exportado en 2015-M09;Valor exportado en 2015-M10;Valor exportado en 2015-M11;Valor exportado en 2015-M12;Valor exportado en 2016-M01;Valor exportado en 2016-M02;Valor exportado en 2016-M03;Valor exportado en 2016-M04;Valor exportado en 2016-M05;Valor exportado en 2016-M06;Valor exportado en 2016-M07;Valor exportado en 2016-M08;Valor exportado en 2016-M09
'080112;"Cocos frescos en el interior de shell ""endocarpio""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080119;"Cocos frescos, incluso sin cáscara o mondados (exc. ??en el interior de shell ""endocarpio"")";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
'080121;Nueces del Brasil, frescas o secas, con cáscara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080122;Nueces del Brasil, frescas o secas, sin cáscara;0;0;0;63;0;0;0;19;0;0;0;0;0;0;0;0;0;90;0
'080131;"Nueces de marañón [merey, cajuil, anacardo, ""cajú""], frescas o secas, con cáscara";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080132;"Nueces de marañón [merey, cajuil, anacardo, ""cajú""], frescas o secas, sin cáscara";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080211;Almendras, frescas o secas, con cáscara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080212;Almendras frescas o secas, sin cáscara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0
'080221;"Avellanas ""Corylus spp."", frescas o secas, con cáscara";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080222;"Las avellanas frescas o secas o avellanas ""Corylus spp."", Sin cáscara";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080231;Nueces frescas o secas, con cáscara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080232;Nueces frescas o secas, sin cáscara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080250;Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados : Pistachos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080251;Pistachos frescos o secos, con cáscara;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080252;Pistachos frescos o secos, sin cáscara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
'080260;Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados : Nueces de macadamia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080261;Nueces de macadamia, frescas o secas, con cáscara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080262;Nueces de macadamia, frescas o secas, sin cáscara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080300;Bananas o plátanos, frescos o secos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080410;Dátiles, frescos o secos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080521;Mandarinas (incluidas las tangerinas y satsumas);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080522;Clementinas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080529;Wilkings e híbridos similares de agrios, frescos o secos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080540;Toronjas o pomelos, frescos o secos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0
'080590;"Agrios ""cítricos"", frescos o secos (exc. naranjas, limones ""Citrus limon, Citrus limonum"", ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080610;Uvas frescas;1;0;0;29;0;0;1;30;0;0;0;0;0;0;33;1;1;2;1
'080711;Sandías, frescas;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
'080810;Manzanas, frescas;57;0;0;23;0;17;0;15;68;0;17;28;20;133;42;36;30;5;0
'080820;Manzanas, peras y membrillos, frescos : Peras y membrillos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080830;Las peras frescas;26;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;27;0
'080840;Membrillos frescos;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0
'080910;"Albaricoques ""damascos, chabacanos"", frescos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080920;Albaricoques (damascos, chabacanos), cerezas, melocotones (duraznos) (incluidos los griñones ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080921;"Guindas ""Prunus cerasus"", frescas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080929;Cerezas frescas (excepto las cerezas ácidas);0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0
'081040;"Arándanos rojos, mirtilos y demás frutos del género ""Vaccinium"", frescos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'081050;Kiwis, frescos;0;0;0;0;0;0;0;0;0;0;0;0;64;129;0;0;0;0;0
'081210;Cerezas conservadas provisionalmente, p.ej. con gas sulfuroso o con agua salada o sulfurosa ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
