,Unnamed: 0,BP,No. VP,Nombre Proyecto,Departamento,Municipio,Total beneficiarios,Hombres,Mujeres,Total Víctimas,Valor cofinanciado ADR,Valor encargo fiduciario,Valor total cofinanciación ADR,Valor Contrapartida,Valor total proyecto,Hectáreas,Resolución,Fecha resolución,Vigencia,Lineamiento de consejo directivo,AP_ID_ADR,AP_CADENA_PRODUCTIVA_ADR
148,148,174,174,"Contribuir al fortalecimiento de la cadena productiva de la panela de 100 productores, ubicados en el municipio de Supía, mediante la dotación de paquetes tecnológicos productivos, comerciales y asociativos",CALDAS,SUPÍA,100,80,20,6,600000000,,600000000,249750000,849750000,100,603,08/01/2018 12:00:00 AM,2017,,1,AGRICOLA
152,152,307,181,"Construcción e implementación de sistema de secado soar para el manejo de café de pequeños productores cafeteros de la Asociación Agropecuaria Holanda, municipio de Pitalito - Huila",HUILA,PITALITO,60,47,13,6,500057000,,500057000,95908000,595965000,90,506,07/09/2018 12:00:00 AM,2017,,1,AGRICOLA
153,153,308,182,"Implementación de sistemas productivos agrícolas en las comunidades indígenas de Quina Quina, Santa Helena Tiposo, Camuti y nueva reforma de la zona UDIC del municipio de Mitú",VAUPES,MITÚ,50,50,0,7,461961900,,461961900,162681604,624643504,50,602,08/01/2018 12:00:00 AM,2017,,1,AGRICOLA
156,156,311,185,"Articulación de esfuerzos administrativos, técnicos y financieros entre la Agencia de Desarrollo Rural, el municipio de Gutiérrez y la Fundación Colores de mi Tierra, para apoyar el desarrollo agropecuario y rural en la cadena de frijol en el municipio de Gutiérrez departamento de Cundinamarca",CUNDINAMARCA,GUTIÉRREZ,93,71,22,11,566214100,,566214100,262245320,828459420,93,649,08/09/2018 12:00:00 AM,2017,,1,AGRICOLA
158,158,324,187,"Fortalecimiento a la producción integral y sostenible (ambiental, técnico, social y económicamente) de café, aplicando buenas prácticas agrícolas, de cosecha y pos cosecha de acuerdo con estándares de calidad nacional, a 46 familias del municipio del Tambo.",NARIÑO,EL TAMBO,46,41,5,14,552644900,"26,390,566",579035466,200205000,779240466,46,825,11/27/2019 12:00:00 AM,2018,ORDENAMIENTO DE LA PRODUCCIÓN,1,AGRICOLA
159,159,313,188,"Fortalecimiento de las capacidades productivas de frutales para pequeños productores en situación de vulnerabilidad, ubicados en 11 municipios del departamento del Cauca",CAUCA,"Argelia, Balboa, Bolívar, Buenos Aires, El Tambo, Florencia, Mercaderes, Patía, Popayán, Santander De Quilichao Y Sotará",390,252,138,120,2400747900,,2400747900,1501941400,3902689300,390,576,07/24/2018 12:00:00 AM,2017,,1,AGRICOLA
164,164,318,200,"Fortalecimiento a los agricultores de los municipios de Samaná y Victoria Caldas, a través de la entrega de paquetes técnicos para mejorar los cultivos de café, caña, cacao y aguacate",CALDAS,"SAMANÁ, VICTORIA",353,280,73,328,999522000,,999522000,529500000,1529022000,353,614,08/02/2018 12:00:00 AM,2017,,1,AGRICOLA
166,166,320,204,"Fortalecimiento de la actividad cafetera en el municipio de la Unión, departamento de Nariño",NARIÑO,LA UNIÓN,100,68,32,11,529000000,,529000000,446000000,975000000,100,507,07/09/2018 12:00:00 AM,2017,,1,AGRICOLA
170,170,322,210,"Establecimiento de 34 hectáreas de caña panelera, con 34 familias beneficiarias en el municipio de Uramita Antioquia",ANTIOQUIA,URAMITA,34,27,7,13,300000000,,300000000,211140000,511140000,34,605,08/01/2018 12:00:00 AM,2017,,1,AGRICOLA
175,175,342,216,"Implementación de agronegocios hortifurtícolas intensivos con pequeños productores de los municipios de Urumita, La Jagua del Pilar y Villanueva en el departamento de La Guajira",LA_GUAJIRA,"URUMITA, VILLANUEVA Y LA JAGUA DEL PILAR",187,136,51,98,3010248182,,3010248182,757350000,3767598182,47,573,07/24/2018 12:00:00 AM,2017,,1,AGRICOLA
178,178,346,220,Establecimiento de 25 hectáreas para la siembra y comercialización de maracuyá como base sostenible para generar ingresos y mejorar la calidad de vida de 25 familias en los municipios de Tame y Fortul departamento de Arauca.,ARAUCA,"TAME, FORTUL",25,16,9,14,375523000,,375523000,185194000,560717000,25,624,09/09/2019 12:00:00 AM,2018,ORDENAMIENTO DE LA PRODUCCIÓN,1,AGRICOLA
179,179,183,221,Fortalecimiento de la actividad agrícola en el municipio de Don Matías (Antioquia) a través del establecimiento de cultivos de aguacate Hass,ANTIOQUIA,DON MATÍAS,20,14,6,4,530010000,,530010000,71400000,601410000,20,545,07/17/2018 12:00:00 AM,2017,,1,AGRICOLA
180,180,348,222,"Fortalecimiento de mujeres cabeza de familia asociada a la cadena productiva de fresa, en el municipio de Yarumal, para el mejoramiento de la producción y la comercialización",ANTIOQUIA,YARUMAL,30,0,30,12,496060000,,496060000,78225000,574285000,5,546,07/17/2018 12:00:00 AM,2017,,1,AGRICOLA
185,185,354,228,"Fortalecimiento de las capacidades productivas y aumento en la generación de ingresos de pequeños productores de plátano hartón en los municipios de los Córdobas y Moñitos, departamento de Córdoba.",CORDOBA,"LOS CORDOBAS
MOÑITOS",79,59,20,15,971179400,"26,390,566",997569966,379200000,1376769966,79,826,11/27/2019 12:00:00 AM,2019,ASISTENCIA TÉCNICA Y EXTENSIÓN,1,AGRICOLA
