AP_Numero_BP;AP_ID_ADR;AP_CADENA_PRODUCTIVA_ADR;AP_Id_Predio;AP_Departamento;AP_Municipio;AP_Longitud_Predio 12;AP_Latitud_Predio 13;AP_Longitud_Predio 13;AP_Latitud_Predio 14;AP_Longitud_Predio 14;AP_Latitud_Predio 15;AP_Latitud_Predio 16;AP_Latitud_Predio 17;AP_Latitud_Predio 18;AP_Latitud_Predio 19;AP_Latitud_Predio 20;AP_Latitud_Predio 21;AP_Latitud_Predio 22;AP_Latitud_Predio 23;AP_Latitud_Predio 24;AP_Latitud_Predio 25
89;1;AGRICOLA;94;ANTIOQUIA;Andes;-75.914855;5.599202;-75.914737;5.599496;-75.915176;5.599668;-75.914641;5.599733;;;;;;;;
89;1;AGRICOLA;95;ANTIOQUIA;Andes;-75.912333;5.633546;-75.911881;5.633892;-75.911987;5.634118;-75.912417;5.633776;;;;;;;;
89;1;AGRICOLA;96;ANTIOQUIA;Andes;-75.910583;5.636301;-75.910384;5.635958;-75.910296;5.63556;-75.91017;5.635674;;;;;;;;
89;1;AGRICOLA;97;ANTIOQUIA;Andes;-75.92156;5.635838;-75.922228;5.634772;-75.924943;5.634568;-75.924778;5.632792;;;;;;;;
89;1;AGRICOLA;98;ANTIOQUIA;Andes;-75.901147;5.625241;-75.902786;5.625322;-75.903344;5.624106;-75.904562;5.622953;;;;;;;;
89;1;AGRICOLA;99;ANTIOQUIA;Andes;-75.910961;5.619337;-75.911716;5.61875;-75.91062;5.61718;-75.911376;5.616332;;;;;;;;
89;1;AGRICOLA;100;ANTIOQUIA;Andes;-75.915289;5.608946;-75.915312;5.607916;-75.913428;5.60715;-75.915523;5.60551;;;;;;;;
89;1;AGRICOLA;101;ANTIOQUIA;Andes;-75.847966;5.724269;-75.848588;5.724753;-75.848239;5.724903;-75.847327;5.724645;;;;;;;;
89;1;AGRICOLA;102;ANTIOQUIA;Andes;-75.91561;5.608149;-75.914186;5.607836;-75.913484;5.606371;-75.913484;5.606371;;;;;;;;
183;1;AGRICOLA;1;ANTIOQUIA;Don Matias;-75.28476667;6.514916667;-75.28473056;6.514972222;-75.28468056;6.514927778;-75.28473889;6.514872222;;;;;;;;
183;1;AGRICOLA;2;ANTIOQUIA;Don Matias;-75.28473333;6.504433333;-75.28479722;6.504297222;-75.28471667;6.504297222;-75.28479722;6.504266667;;;;;;;;
183;1;AGRICOLA;3;ANTIOQUIA;Don Matias;-75.28746667;6.506333333;-75.28743611;6.506266667;-75.28753611;6.506269444;-75.28756111;6.506347222;;;;;;;;
183;1;AGRICOLA;4;ANTIOQUIA;Don Matias;-75.28585278;6.507066667;-75.286;6.506947222;-75.28585;6.506897222;-75.28592222;6.506897222;;;;;;;;
183;1;AGRICOLA;5;ANTIOQUIA;Don Matias;-75.28636667;6.50585;-75.286325;6.505811111;-75.28633056;6.505869444;-75.28640833;6.505805556;;;;;;;;
183;1;AGRICOLA;6;ANTIOQUIA;Don Matias;-75.28673333;6.51045;-75.28683056;6.510361111;-75.28685278;6.510708333;-75.28696389;6.510372222;;;;;;;;
183;1;AGRICOLA;7;ANTIOQUIA;Don Matias;-75.2843;6.516333333;-75.28425556;6.516263889;-75.28435;6.516238889;-75.28447222;6.516236111;;;;;;;;
183;1;AGRICOLA;8;ANTIOQUIA;Don Matias;-75.28611667;6.512433333;-75.28618056;6.512447222;-75.28619444;6.512322222;-75.28611667;6.512313889;;;;;;;;
183;1;AGRICOLA;9;ANTIOQUIA;Don Matias;-75.28637778;6.5067;-75.28635278;6.506752778;-75.28631944;6.506733333;-75.28634722;6.506680556;;;;;;;;
