Id_Usuario;Sexo;Tipo_Poblacional;Discapacidad;Departamento;Municipio;Vereda;Predio;Cadena_Productiva;C1A1;C2A1;C3A1;C4A1;C5A1;C6A1;C7A1;C8A1;C9A1;C10A1;NA1;C1A2;C2A2;C3A2;C4A2;C5A2;C6A2;C7A2;NA2;C1A3;C2A3;C3A3;C4A3;C5A3;NA3;C1A4;C2A4;C3A4;C4A4;NA4;C1A5;C2A5;C3A5;C4A5;NA5;CLAS_GRAL;CADENA_PRODUCTIVA_ADR;ID_ADR;Tipo de proyecto
3644;M;NINGUNA;NO;BOLIVAR;13650;LAZARO;PLAYA;MAIZ;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;2;1;1;MAIZ;012504;Asistencia Tecnica
3645;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;EL PATIO;MAIZ;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3646;F;NINGUNA;NO;BOLIVAR;13468;RINCONADA;KARATE;MAIZ;4;4;1;1;2;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;2;2;2;1;1;MAIZ;012504;Asistencia Tecnica
3648;F;NINGUNA;NO;BOLIVAR;13468;ANCON;LA PLAYA;MAIZ;4;4;1;1;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;2;2;1;2;1;2;2;1;1;2;2;2;1;1;MAIZ;012504;Asistencia Tecnica
3649;F;NINGUNA;NO;BOLIVAR;13468;AGRÍCOLA;MAÍZ;MAIZ;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3650;F;NINGUNA;NO;BOLIVAR;13468;AGRÍCOLA;MAÍZ;MAIZ;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3651;F;NINGUNA;NO;BOLIVAR;13468;AGRÍCOLA;MAÍZ;MAIZ;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3652;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;BUENOS AIRES;MAIZ;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3653;F;NINGUNA;NO;BOLIVAR;13468;RINCONADA;KARATE;MAIZ;4;4;1;1;2;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;2;1;1;2;2;2;1;1;1;2;2;2;1;1;MAIZ;012504;Asistencia Tecnica
3654;F;NINGUNA;NO;BOLIVAR;13468;RINCONADA;KARATE;MAIZ;4;4;1;1;2;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;2;1;1;2;2;2;1;1;1;2;2;2;1;1;MAIZ;012504;Asistencia Tecnica
3655;F;NINGUNA;NO;BOLIVAR;13468;ANCON;LA PLAYA;MAIZ;4;4;1;1;2;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;2;1;1;2;2;2;1;1;1;2;2;2;1;1;MAIZ;012504;Asistencia Tecnica
3656;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;PALESTINA;MAIZ;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3657;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;LAS PLAYAS;MAIZ;4;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3658;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;LAS PARCELAS;MAIZ;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3659;F;NINGUNA;NO;BOLIVAR;13468;AGRÍCOLA;MAÍZ;MAIZ;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3660;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;LAS MONJAS;MAIZ;4;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3661;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;CIELO ABIERTO;MAIZ;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
