DEPARTAMENTO,MUNICIPIO,Total beneficiarios,Valor cofinanciación,Valor Contrapartida,YEAR,CP,CICLO_CULTIVO,RENDIMIENTO,PRODUCTIVIDAD,key,cluster
LA GUAJIRA,RIOHACHA,0,176810400,12520400,2012,ÑAME,ANUAL,9.0,0.9465648854961832,830,0
ANTIOQUIA,NARIÑO,0,0,0,2014,PLATANO,PERMANENTE,4.0,1.0,447,0
VALLE DEL CAUCA,BUGALAGRANDE,44,162618200,102685000,2014,MARACUYA,PERMANENTE,14.0,1.0,139,0
ATLANTICO,PONEDERA,92,271170000,125888000,2013,GUAYABA,PERMANENTE,5.0,0.5769230769230769,740,2
CAUCA,CAJIBIO,88,315972000,126301972,2013,LULO,PERMANENTE,6.0,1.0,665,0
CUNDINAMARCA,PACHO,0,0,0,2012,TOMATE,TRANSITORIO,85.0,1.0,855,0
ARAUCA,ARAUCA,32,98559800,65640000,2014,YUCA,ANUAL,20.0,0.8736842105263158,440,0
BOYACA,PISVA,196,577704174,467664844,2013,MAIZ,TRANSITORIO,1.3416312056737631,0.9253526486470531,1004,3
RISARALDA,PEREIRA,0,0,0,2013,CHAMPIÑON,PERMANENTE,60.0,1.0,531,0
NORTE DE SANTANDER,HACARI,8,30912000,15180000,2015,TOMATE,TRANSITORIO,39.5,0.95,55,0
BOLIVAR,ARENAL,12,46368000,10800000,2015,PALMA DE ACEITE,PERMANENTE,2.97,0.7857142857142857,120,2
SANTANDER,GALAN,72,212207725,87911730,2013,YUCA,ANUAL,18.0,0.85,528,0
TOLIMA,CHAPARRAL,92,355488000,96587500,2015,GUANABANA,PERMANENTE,9.0,1.0,25,0
CAUCA,SUAREZ,64,206080000,76832000,2015,LULO,PERMANENTE,11.0,0.40625,72,2
NORTE DE SANTANDER,SAN CALIXTO,60,231840000,128250000,2015,TOMATE,TRANSITORIO,27.5,1.0,44,0
NARIÃ‘O,IPIALES,24,53200000,78800000,2014,REPOLLO,TRANSITORIO,35.0,0.9083333333333333,249,0
